
No matching checkpoint file found
/media/estar/Data/LY/Models/OSTrack-v2/lib/train/../../lib/models/layers/head.py:144: UserWarning: __floordiv__ is deprecated, and its behavior will change in a future version of pytorch. It currently rounds toward 0 (like the 'trunc' function NOT 'floor'). This results in incorrect rounding for negative values. To keep the current behavior, use torch.div(a, b, rounding_mode='trunc'), or for actual floor division, use torch.div(a, b, rounding_mode='floor').
  idx_y = idx // self.feat_sz
[train: 1, 1000 / 3750] FPS: 33.5 (33.4)  ,  DataTime: 0.021 (0.026)  ,  ForwardTime: 0.430  ,  TotalTime: 0.478  ,  Loss/total: 6.99671  ,  Loss/giou: 0.65074  ,  Loss/l1: 0.08787  ,  Loss/location: 5.25589  ,  IoU: 0.44693
[train: 1, 1050 / 3750] FPS: 33.5 (34.4)  ,  DataTime: 0.021 (0.026)  ,  ForwardTime: 0.430  ,  TotalTime: 0.478  ,  Loss/total: 6.74700  ,  Loss/giou: 0.63980  ,  Loss/l1: 0.08544  ,  Loss/location: 5.04020  ,  IoU: 0.45534
[train: 1, 1100 / 3750] FPS: 33.5 (34.4)  ,  DataTime: 0.021 (0.027)  ,  ForwardTime: 0.430  ,  TotalTime: 0.478  ,  Loss/total: 6.52089  ,  Loss/giou: 0.63014  ,  Loss/l1: 0.08344  ,  Loss/location: 4.84342  ,  IoU: 0.46306
[train: 1, 1150 / 3750] FPS: 33.5 (32.7)  ,  DataTime: 0.021 (0.027)  ,  ForwardTime: 0.430  ,  TotalTime: 0.478  ,  Loss/total: 6.31525  ,  Loss/giou: 0.62149  ,  Loss/l1: 0.08152  ,  Loss/location: 4.66466  ,  IoU: 0.46986
[train: 1, 1200 / 3750] FPS: 33.5 (34.6)  ,  DataTime: 0.020 (0.027)  ,  ForwardTime: 0.430  ,  TotalTime: 0.478  ,  Loss/total: 6.12421  ,  Loss/giou: 0.61281  ,  Loss/l1: 0.07968  ,  Loss/location: 4.50019  ,  IoU: 0.47667
[train: 1, 1250 / 3750] FPS: 33.5 (34.0)  ,  DataTime: 0.020 (0.027)  ,  ForwardTime: 0.430  ,  TotalTime: 0.477  ,  Loss/total: 5.94541  ,  Loss/giou: 0.60411  ,  Loss/l1: 0.07785  ,  Loss/location: 4.34796  ,  IoU: 0.48341
[train: 1, 1300 / 3750] FPS: 33.5 (33.5)  ,  DataTime: 0.020 (0.027)  ,  ForwardTime: 0.430  ,  TotalTime: 0.477  ,  Loss/total: 5.78296  ,  Loss/giou: 0.59676  ,  Loss/l1: 0.07629  ,  Loss/location: 4.20800  ,  IoU: 0.48914
[train: 1, 1350 / 3750] FPS: 33.5 (32.2)  ,  DataTime: 0.020 (0.027)  ,  ForwardTime: 0.430  ,  TotalTime: 0.477  ,  Loss/total: 5.63147  ,  Loss/giou: 0.58963  ,  Loss/l1: 0.07483  ,  Loss/location: 4.07805  ,  IoU: 0.49483
[train: 1, 1400 / 3750] FPS: 33.6 (34.1)  ,  DataTime: 0.020 (0.027)  ,  ForwardTime: 0.430  ,  TotalTime: 0.477  ,  Loss/total: 5.49223  ,  Loss/giou: 0.58345  ,  Loss/l1: 0.07352  ,  Loss/location: 3.95776  ,  IoU: 0.49977
[train: 1, 1450 / 3750] FPS: 33.6 (35.3)  ,  DataTime: 0.019 (0.027)  ,  ForwardTime: 0.430  ,  TotalTime: 0.476  ,  Loss/total: 5.36127  ,  Loss/giou: 0.57740  ,  Loss/l1: 0.07229  ,  Loss/location: 3.84503  ,  IoU: 0.50453
[train: 1, 1500 / 3750] FPS: 33.6 (34.7)  ,  DataTime: 0.019 (0.026)  ,  ForwardTime: 0.430  ,  TotalTime: 0.476  ,  Loss/total: 5.23583  ,  Loss/giou: 0.57119  ,  Loss/l1: 0.07103  ,  Loss/location: 3.73833  ,  IoU: 0.50944
[train: 1, 1550 / 3750] FPS: 33.7 (34.8)  ,  DataTime: 0.019 (0.026)  ,  ForwardTime: 0.430  ,  TotalTime: 0.475  ,  Loss/total: 5.11934  ,  Loss/giou: 0.56549  ,  Loss/l1: 0.06992  ,  Loss/location: 3.63877  ,  IoU: 0.51404
[train: 1, 1600 / 3750] FPS: 33.7 (35.3)  ,  DataTime: 0.019 (0.026)  ,  ForwardTime: 0.430  ,  TotalTime: 0.475  ,  Loss/total: 5.01105  ,  Loss/giou: 0.56009  ,  Loss/l1: 0.06892  ,  Loss/location: 3.54628  ,  IoU: 0.51841
[train: 1, 1650 / 3750] FPS: 33.7 (34.1)  ,  DataTime: 0.019 (0.026)  ,  ForwardTime: 0.430  ,  TotalTime: 0.474  ,  Loss/total: 4.91024  ,  Loss/giou: 0.55537  ,  Loss/l1: 0.06801  ,  Loss/location: 3.45944  ,  IoU: 0.52238
[train: 1, 1700 / 3750] FPS: 33.8 (34.9)  ,  DataTime: 0.019 (0.025)  ,  ForwardTime: 0.429  ,  TotalTime: 0.474  ,  Loss/total: 4.81458  ,  Loss/giou: 0.55115  ,  Loss/l1: 0.06712  ,  Loss/location: 3.37668  ,  IoU: 0.52590
[train: 1, 1750 / 3750] FPS: 33.8 (34.4)  ,  DataTime: 0.019 (0.025)  ,  ForwardTime: 0.429  ,  TotalTime: 0.473  ,  Loss/total: 4.72154  ,  Loss/giou: 0.54601  ,  Loss/l1: 0.06618  ,  Loss/location: 3.29862  ,  IoU: 0.52998
[train: 1, 1800 / 3750] FPS: 33.9 (34.4)  ,  DataTime: 0.019 (0.025)  ,  ForwardTime: 0.429  ,  TotalTime: 0.473  ,  Loss/total: 4.63430  ,  Loss/giou: 0.54141  ,  Loss/l1: 0.06527  ,  Loss/location: 3.22511  ,  IoU: 0.53368
[train: 1, 1850 / 3750] FPS: 33.9 (34.7)  ,  DataTime: 0.019 (0.025)  ,  ForwardTime: 0.429  ,  TotalTime: 0.472  ,  Loss/total: 4.55374  ,  Loss/giou: 0.53732  ,  Loss/l1: 0.06456  ,  Loss/location: 3.15630  ,  IoU: 0.53711
[train: 1, 1900 / 3750] FPS: 33.9 (34.6)  ,  DataTime: 0.018 (0.025)  ,  ForwardTime: 0.429  ,  TotalTime: 0.472  ,  Loss/total: 4.47385  ,  Loss/giou: 0.53272  ,  Loss/l1: 0.06371  ,  Loss/location: 3.08987  ,  IoU: 0.54079
[train: 1, 1950 / 3750] FPS: 34.0 (35.4)  ,  DataTime: 0.018 (0.024)  ,  ForwardTime: 0.429  ,  TotalTime: 0.471  ,  Loss/total: 4.39790  ,  Loss/giou: 0.52841  ,  Loss/l1: 0.06287  ,  Loss/location: 3.02673  ,  IoU: 0.54424
[train: 1, 2000 / 3750] FPS: 34.0 (35.0)  ,  DataTime: 0.018 (0.024)  ,  ForwardTime: 0.428  ,  TotalTime: 0.471  ,  Loss/total: 4.32716  ,  Loss/giou: 0.52431  ,  Loss/l1: 0.06212  ,  Loss/location: 2.96793  ,  IoU: 0.54745
[train: 1, 2050 / 3750] FPS: 34.0 (34.9)  ,  DataTime: 0.018 (0.024)  ,  ForwardTime: 0.428  ,  TotalTime: 0.470  ,  Loss/total: 4.25928  ,  Loss/giou: 0.52063  ,  Loss/l1: 0.06144  ,  Loss/location: 2.91078  ,  IoU: 0.55042
[train: 1, 2100 / 3750] FPS: 34.0 (35.3)  ,  DataTime: 0.018 (0.024)  ,  ForwardTime: 0.428  ,  TotalTime: 0.470  ,  Loss/total: 4.19417  ,  Loss/giou: 0.51705  ,  Loss/l1: 0.06075  ,  Loss/location: 2.85631  ,  IoU: 0.55321
[train: 1, 2150 / 3750] FPS: 34.1 (35.4)  ,  DataTime: 0.018 (0.024)  ,  ForwardTime: 0.428  ,  TotalTime: 0.470  ,  Loss/total: 4.13227  ,  Loss/giou: 0.51352  ,  Loss/l1: 0.06008  ,  Loss/location: 2.80484  ,  IoU: 0.55601
[train: 1, 2200 / 3750] FPS: 34.1 (35.2)  ,  DataTime: 0.018 (0.024)  ,  ForwardTime: 0.428  ,  TotalTime: 0.470  ,  Loss/total: 4.07343  ,  Loss/giou: 0.51022  ,  Loss/l1: 0.05947  ,  Loss/location: 2.75566  ,  IoU: 0.55865
[train: 1, 2250 / 3750] FPS: 34.1 (35.9)  ,  DataTime: 0.018 (0.024)  ,  ForwardTime: 0.428  ,  TotalTime: 0.469  ,  Loss/total: 4.01820  ,  Loss/giou: 0.50719  ,  Loss/l1: 0.05892  ,  Loss/location: 2.70921  ,  IoU: 0.56111
[train: 1, 2300 / 3750] FPS: 34.1 (34.7)  ,  DataTime: 0.018 (0.024)  ,  ForwardTime: 0.428  ,  TotalTime: 0.469  ,  Loss/total: 3.96301  ,  Loss/giou: 0.50391  ,  Loss/l1: 0.05832  ,  Loss/location: 2.66358  ,  IoU: 0.56373
[train: 1, 2350 / 3750] FPS: 34.2 (35.9)  ,  DataTime: 0.018 (0.023)  ,  ForwardTime: 0.427  ,  TotalTime: 0.468  ,  Loss/total: 3.90934  ,  Loss/giou: 0.50069  ,  Loss/l1: 0.05781  ,  Loss/location: 2.61894  ,  IoU: 0.56639
[train: 1, 2400 / 3750] FPS: 34.2 (35.8)  ,  DataTime: 0.018 (0.023)  ,  ForwardTime: 0.427  ,  TotalTime: 0.468  ,  Loss/total: 3.85885  ,  Loss/giou: 0.49771  ,  Loss/l1: 0.05725  ,  Loss/location: 2.57716  ,  IoU: 0.56878
